food_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g
banana,89,1.1,0.3,23
apple,52,0.3,0.2,14
rice,130,2.7,0.3,28
egg,155,13,11,1.1
chicken,239,27,14,0
bread,265,9,3.2,49
milk,42,3.4,1,5
pizza,266,11,10,33
burger,295,17,14,29
sandwich,250,12,9,27
pasta,131,5,1.1,25
cheese,402,25,33,1.3
cake,290,3.5,15,36
ice cream,207,4,11,24
orange,47,0.9,0.1,12
grapes,69,0.7,0.2,18
watermelon,30,0.6,0.2,8
strawberry,32,0.7,0.3,7.7
tomato,18,0.9,0.2,3.9
potato,77,2,0.1,17
carrot,41,0.9,0.2,10
cucumber,16,0.7,0.1,3.6
broccoli,34,2.8,0.4,7
lettuce,15,1.4,0.2,2.9
mango,60,0.8,0.4,15
pineapple,50,0.5,0.1,13
donut,452,4.9,25,51
hot dog,290,10,26,2.2
french fries,312,3.4,15,41
chocolate,546,4.9,31,61
yogurt,59,10,0.4,3.6
beef,250,26,15,0
lamb,294,25,21,0
fish,206,22,12,0
salmon,208,20,13,0
shrimp,99,24,0.3,0.2
tofu,76,8,4.8,1.9
paneer,265,18,20,1.2
dal,116,9,3.3,16
chapati,137,4,3,22
naan,262,8,6,44
idli,58,2,0.4,12
dosa,133,2.7,4,21
samosa,262,5,17,24
poha,180,3,6,26
upma,120,3,4,17
biryani,240,8,10,30
momos,170,7,6,20
noodles,138,3,5,21
spring roll,154,4,8,17
corn,96,3.4,1.5,21
peas,81,5,0.4,14
beans,347,21,1.2,63
lentils,116,9,0.4,20
oats,389,17,7,66
cereal,379,7,2.2,84
bacon,541,37,42,1.4
sausage,301,12,26,1.7
butter,717,0.9,81,0.1
mayonnaise,680,1,75,0.6
honey,304,0.3,0,82
jam,278,0.4,0.1,68
pancake,227,6,6,36
waffle,291,7,10,37
croissant,406,8,21,45
biscuit,430,6.7,19,61
muffin,377,6,16,52
popcorn,387,13,4.5,78
chips,536,7,34,50
trail mix,462,13,29,46
nutella,539,6.3,31,57
lasagna,135,7,6,13
onion rings,411,4.5,22,47
nachos,326,7,18,34
tortilla,237,8,4.5,44
taco,226,11,11,18
brownie,466,6,23,58
cookie,488,5,24,63
cupcake,356,4.9,16,50
pudding,130,2,4,21
soft drink,42,0,0,11
lemonade,38,0,0,10
coffee,1,0.1,0,0
tea,1,0.1,0,0
milkshake,160,4,5,25
smoothie,60,1,0.3,14
papaya,43,0.5,0.3,11
mushroom,22,3.1,0.3,3.3
beetroot,43,1.6,0.2,10
